Names,Rating,Reviews,Year,Length,Restriction
1. The Shawshank Redemption,9.3,(2.9M),1994,1994,1994
2. The Godfather,9.2,(2M),1972,1972,1972
3. The Dark Knight,9.0,(2.9M),2008,2008,2008
4. The Godfather: Part II,9.0,(1.4M),1974,1974,1974
5. 12 Angry Men,9.0,(877K),1957,1957,1957
6. Schindler's List,9.0,(1.5M),1993,1993,1993
7. The Lord of the Rings: The Return of the King,9.0,(2M),2003,2003,2003
8. Pulp Fiction,8.9,(2.2M),1994,1994,1994
9. The Lord of the Rings: The Fellowship of the Ring,8.9,(2M),2001,2001,2001
"10. Il Buono, Il Brutto, Il Cattivo",8.8,(819K),1966,1966,1966
11. Forrest Gump,8.8,(2.3M),1994,1994,1994
12. The Lord of the Rings: The Two Towers,8.8,(1.8M),2002,2002,2002
13. Fight Club,8.8,(2.4M),1999,1999,1999
14. Inception,8.8,(2.6M),2010,2010,2010
15. Star Wars: Episode V - The Empire Strikes Back,8.7,(1.4M),1980,1980,1980
16. The Matrix,8.7,(2.1M),1999,1999,1999
17. GoodFellas,8.7,(1.3M),1990,1990,1990
18. One Flew Over the Cuckoo's Nest,8.7,(1.1M),1975,1975,1975
19. Interstellar,8.7,(2.1M),2014,2014,2014
20. Se7en,8.6,(1.8M),1995,1995,1995
21. It's a Wonderful Life,8.6,(503K),1946,1946,1946
22. Shichinin No Samurai,8.6,(370K),1954,1954,1954
23. The Silence of the Lambs,8.6,(1.6M),1991,1991,1991
24. Saving Private Ryan,8.6,(1.5M),1998,1998,1998
25. City of God,8.6,(808K),2002,2002,2002
